,Live Data Exchange
,As of 2026-08-10 11:17:22 Pacific Standard Time/PST • Generated by Keith Boone • Sorted by Organization Name (Ascending)
,Filtered By
,Show: All organizations
,Organization Record Type equals IIS
,Organization ID not equal to 0015f000010meVq
,Organization Name,Organization Name,SME Name,IIS Vendor,List of Live IIS to IIS Data Exchange,TOTAL # of IIS to IIS Connections,List of Live Pro to IIS Data Exchange,TOTAL # of Provider to IIS Connections
,Alabama,Alabama,Chantel Hartman,Awardee Developed - AL ImmPRINT,Florida,1
,Alaska,Alaska,Jennifer Ratliff,STChealth,"Washington, Arizona, District of Columbia, Indiana, Louisiana, Mississippi, Ohio, Puerto Rico, South Dakota, West Virginia, Wyoming, Tennessee, Virginia",13,"Mayo Clinic, RIISE, Veterans Administration (VistA)",3
,American Samoa - PI,American Samoa - PI,Natalie Johns,Envision Technology Partners,"Micronesia - PI, N. Mariana Islands - PI, Marshall Islands - PI, Palau - PI, Guam - PI",5
,Arizona,Arizona,Amee DeMartino,STChealth,"Indiana, Tennessee, Washington, Alaska, District of Columbia, Louisiana, Mississippi, Ohio, Puerto Rico, South Dakota, West Virginia, Wyoming, Maryland, Virgin Islands U.S., Wisconsin, Illinois, Connecticut, New Mexico, Colorado, Nevada, Utah, Virginia, N",23,"RIISE, Veterans Administration (VistA)",2
,Arkansas,Arkansas,Tristi Bond,Envision Technology Partners,"Kansas, Nevada, Oklahoma, Kentucky, Connecticut, Missouri, New Mexico, Delaware, Mississippi, Pennsylvania, Louisiana, Tennessee",12,"Fresenius Medical Care, RIISE, Veterans Administration (VistA)",3
,California,California,Jan Hicks-Thomson,Gainwell Technologies,,,"DaVita Physician Solutions, Department of Defense (DOD), RIISE, Veterans Administration (VistA)",4
,Chicago - Illinois,Chicago - Illinois,Amee DeMartino,Awardee Developed - IL I-CARE,,,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Colorado,Colorado,Jennifer Ratliff,Envision Technology Partners,"Oklahoma, Nevada, New Mexico, Kansas, Pennsylvania, Arizona, Utah, Washington, Wyoming",9,"Fresenius Medical Care, Mayo Clinic, RIISE, Veterans Administration (VistA)",4
,Connecticut,Connecticut,Jennifer Ratliff,Envision Technology Partners,"Delaware, Nevada, Pennsylvania - Philadelphia, Rhode Island, New Jersey, New York City - New York State, Arkansas, New Mexico, Oklahoma, Kansas, Kentucky, Missouri, Michigan, Florida, Pennsylvania, Puerto Rico, Maryland, Arizona, Virgin Islands U.S., Illi",20,"RIISE, VAMS, Veterans Administration (VistA)",3
,Delaware,Delaware,Crystal Edwards,Envision Technology Partners,"Pennsylvania - Philadelphia, District of Columbia, Maryland, Connecticut, New Jersey, Kentucky, Nevada, Virginia, New Mexico, Missouri, Oklahoma, Rhode Island, Arkansas, Pennsylvania",14,"RIISE, VAMS, Veterans Administration (VistA)",3
