env,envId,sender_name,sender_id,cert_domain,receiver_destid,receiver_name,use_type,validUntil
production,1,AZOVA,105,azova.com,nv,Nevada,PROVIDER,2026-12-11
production,1,AZOVA,105,azova.com,ut,Utah,PROVIDER,2026-12-11
production,1,DaVita Physician Solutions,106,davita.com,nj,New Jersey,PROVIDER,2027-06-19
production,1,DaVita Physician Solutions,106,davita.com,va,Virginia,PROVIDER,2027-06-19
production,1,DaVita Physician Solutions,106,davita.com,ca,California,PROVIDER,2027-06-19
production,1,DocStation,108,docstation.co,mn,Minnesota,PROVIDER,2027-08-06
production,1,Fond du Lac,109,fdlrez.com,mn,Minnesota,PROVIDER,2027-06-24
production,1,Fresenius Medical Care,110,iris-prod.freseniusmedicalcare.com,co,Colorado,PROVIDER,2026-09-09
production,1,Fresenius Medical Care,110,iris-prod.freseniusmedicalcare.com,ar,Arkansas,PROVIDER,2026-09-09
production,1,Mayo Clinic,111,prod.mayo.qvera.com,dc,District of Columbia,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,mt,Montana,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,in,Indiana,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,ak,Alaska,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,nj,New Jersey,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,co,Colorado,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,nd,North Dakota,PROVIDER,2026-11-04
production,1,Mayo Clinic,111,prod.mayo.qvera.com,mo,Missouri,PROVIDER,2026-11-04
production,1,RIISE,112,riise.cdc.gov,ct,Connecticut,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,ca,California,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,co,Colorado,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,ak,Alaska,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,az,Arizona,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,ar,Arkansas,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,de,Delaware,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,dc,District of Columbia,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,fl,Florida,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,id,Idaho,PROVIDER,2027-04-02
production,1,RIISE,112,riise.cdc.gov,il,Illinois,PROVIDER,2027-04-02
