env,envId,domain,organization,sender_type,entityId,entityName,status,authExpiresAt
production,1,securityrs.com,Security Risk Solutions Inc.,ops,102,Security Risk Solutions,authorized,2027-07-02
production,1,ehealthsign.com,e-HealthSign LLC,ops,103,e-HealthSign,authorized,2027-07-21
production,1,IZGTesting.ehealthsign.com,e-HealthSign LLC,ops,103,e-HealthSign,authorized,2027-07-21
production,1,tyoung.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2027-08-04
production,1,mstankiewicz.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2027-08-13
production,1,pcahill.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2027-07-24
production,1,amoody.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2027-04-20
production,1,weckels.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2027-02-12
production,1,ppatel.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2026-11-19
production,1,kboone.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2026-11-05
production,1,akanuri.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2026-09-30
production,1,ebrock.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2026-09-30
production,1,bwilliams.testing.izgateway.org,Audacious Inquiry LLC,ops,104,Audacious Inquiry (operators),authorized,2026-10-01
production,1,hl-iispia-ha-e.njdoh.net,Department of Health State of New Jersey,jurisdiction,34,NJ NJIIS,authorized,2027-01-06
production,1,soa.alertiis.org,Oregon ALERT IIS,jurisdiction,41,OR ALERT,authorized,2027-07-28
production,1,dpprod1.health.ny.gov,New York State Department of Health,jurisdiction,37,NY NYSIIS,authorized,2027-07-30
production,1,soa4.health.ny.gov,New York State Department of Health,jurisdiction,37,NY NYSIIS,authorized,2027-07-30
production,1,prod.ndiis.org,Blue Cross Blue Shield of North Dakota,jurisdiction,31,ND SIIS,authorized,2026-09-02
production,1,cdc-izg-client-certificate.kidsnet.health.ri.gov,Rhode Island Department of Health,jurisdiction,51,RI CAIR,authorized,2027-07-21
production,1,state.mn.us,Minnesota Department of Health,jurisdiction,26,MN MIIC,authorized,2027-08-06
production,1,nesiis-dhhs-prod.ne.gov,DHHS Nebraska,jurisdiction,32,NE NESIIS,authorized,2027-06-24
production,1,izg.immunize.nyc,New York City Department of Health,jurisdiction,38,NYC CIR,authorized,2027-01-07
production,1,www.mdimmunet.org,Cntr. for Immunization - MD Dept.of Health & Mental Hygiene,jurisdiction,23,MD IMMUNET,authorized,2027-06-08
production,1,immtrac.dshs.texas.gov,Texas Department of State Health Services,jurisdiction,55,TX ImmTrac,authorized,2027-05-26
production,1,icarehl7.dph.illinois.gov,Illinois Department of Public Health,jurisdiction,17,IL I-CARE,authorized,2027-06-03
production,1,cair.cdph.ca.gov,California Immunization Registry,jurisdiction,7,CA CAIR,authorized,2027-04-23
production,1,integrationengine.mihin.org,Michigan Health Information Network Shared Services,jurisdiction,25,MI MCIR,authorized,2027-03-24
production,1,ncir2.ncdhhs.gov,North Carolina Department of Health and Human Services,jurisdiction,30,NCIR,authorized,2027-06-16
production,1,miis.massimmunize.org,Massachusetts Department of Public Health,jurisdiction,22,MA MIIS,authorized,2027-02-09
production,1,miis-cert.massimmunize.org,Massachusetts Department of Public Health,jurisdiction,22,MA MIIS,authorized,2027-02-04
production,1,viirs.optimoz.com,Optimoz Inc.,jurisdiction,56,U.S. Virgin Islands,authorized,2026-11-21
production,1,hco.optimoz.com,Optimoz Inc.,jurisdiction,56,U.S. Virgin Islands,authorized,2026-11-21
production,1,dhswir.org,Wisconsin Department of Health Services,jurisdiction,61,WI WIR,authorized,2026-12-15
production,1,flshotsizgateway.flshots.com,Florida Department of Health,jurisdiction,12,FL SHOTS,authorized,2026-12-02
production,1,iris.dhw.idaho.gov,Idaho Department of Health and Welfare,jurisdiction,16,ID IRIS,authorized,2026-08-15
production,1,usiisapps.utah.gov,Utah Department of Health and Human Services,jurisdiction,57,UT USIIS,authorized,2026-10-08
production,1,immpact.maine.gov,Maine Immunization Information System,jurisdiction,24,ME ImmPact2,authorized,2026-10-10
production,1,PA-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,43,PA SIIS,authorized,2027-06-16
production,1,AR-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,5,AR WebIZ,authorized,2027-05-25
production,1,AS-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,44,PI - American Samoa,authorized,2027-05-25
production,1,CNMI-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,48,PI - PI N Mariana Islands,authorized,2027-05-25
production,1,CO-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,8,CO CIIS,authorized,2027-05-25
production,1,CT-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,9,CT WiZ,authorized,2027-05-25
production,1,DE-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,11,DE DelVAX,authorized,2027-05-25
production,1,FSM-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,45,PI - Federated States of Micronesia,authorized,2027-05-25
