jurisdictionId,prefix,description,allowedUseTypes,useTypes
4,al,Alabama,PUBLIC_HEALTH,PUBLIC_HEALTH
3,ak,Alaska,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
44,as,PI - American Samoa,PUBLIC_HEALTH,PUBLIC_HEALTH
6,az,Arizona,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
5,ar,Arkansas,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
7,ca,California,PROVIDER,
8,co,Colorado,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
9,ct,Connecticut,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
64,ccuat,CCUAT,PUBLIC_HEALTH|PROVIDER|PATIENT,
1,dev,Development Testing,PUBLIC_HEALTH|PROVIDER|PATIENT,
11,de,Delaware,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
10,dc,District of Columbia,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
12,fl,Florida,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
13,ga,Georgia,PROVIDER,
47,gu,PI - Guam,PUBLIC_HEALTH,PUBLIC_HEALTH
14,hi,Hawaii,,
16,id,Idaho,PROVIDER|PATIENT,
17,il,Illinois,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
18,in,Indiana,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
15,ia,Iowa,PROVIDER,
19,ks,Kansas,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
20,ky,Kentucky,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
21,la,Louisiana,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
24,me,Maine,PROVIDER|PATIENT,
49,mh,PI - Republic of the Marshall Islands,PUBLIC_HEALTH,PUBLIC_HEALTH
23,md,Maryland,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
22,ma,Massachusetts,PROVIDER,
25,mi,Michigan,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
45,fm,PI - Federated States of Micronesia,PUBLIC_HEALTH,PUBLIC_HEALTH
26,mn,Minnesota,PROVIDER|PATIENT,
28,ms,Mississippi,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
27,mo,Missouri,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
29,mt,Montana,PROVIDER,
48,mp,PI - Commonwealth of the Mariana Islands,PUBLIC_HEALTH,PUBLIC_HEALTH
32,ne,Nebraska,PROVIDER,
36,nv,Nevada,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
33,nh,New Hampshire,PROVIDER,
34,nj,New Jersey,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
35,nm,New Mexico,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
38,nyc,New York City,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
37,ny,New York State,PROVIDER,
30,nc,North Carolina,PROVIDER,
31,nd,North Dakota,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
39,oh,Ohio,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
40,ok,Oklahoma,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
41,or,Oregon,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
46,pw,PI - Palau,PUBLIC_HEALTH,PUBLIC_HEALTH
43,pa,Pennsylvania,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
42,ph,Pennsylvania - Philadelphia,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
50,pr,Puerto Rico,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
51,ri,Rhode Island,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
52,sc,South Carolina,PROVIDER,
53,sd,South Dakota,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
54,tn,Tennessee,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
55,tx,Texas,PUBLIC_HEALTH|PROVIDER,
57,ut,Utah,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
59,vt,Vermont,PROVIDER,
56,vi,U.S. Virgin Islands,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
58,va,Virginia,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
60,wa,Washington,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
62,wv,West Virginia,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
61,wi,Wisconsin,PUBLIC_HEALTH|PROVIDER,PUBLIC_HEALTH
63,wy,Wyoming,PUBLIC_HEALTH|PROVIDER|PATIENT,PUBLIC_HEALTH
