sender_id,prefix,canonical_name,use_types
100,EHEX,eHealth Exchange,PUBLIC_HEALTH
101,DOCKET,Docket,PATIENT
102,SRS,Security Risk Solutions,PUBLIC_HEALTH|PROVIDER|PATIENT
103,EHEALTHSIGN,e-HealthSign,PUBLIC_HEALTH|PROVIDER|PATIENT
104,AINQ,Audacious Inquiry (operators),PUBLIC_HEALTH|PROVIDER|PATIENT
105,AZOVA,AZOVA,PROVIDER
106,DAVITA,DaVita Physician Solutions,PROVIDER
107,DOD,Department of Defense,PROVIDER
108,DOCSTATION,DocStation,PROVIDER
109,FDL,Fond du Lac,PROVIDER
110,FRESENIUS,Fresenius Medical Care,PROVIDER
111,MAYO,Mayo Clinic,PROVIDER
112,RIISE,RIISE,PROVIDER
113,VAMS,VAMS,PROVIDER
114,VHA,Veterans Administration,PROVIDER
