common_name,organization,environment,sender_type,jurisdiction_destid,notes,validUntil
prod-cc.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,IZ Gateway Config Console,2027-08-12
prod.xform.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub transform service,2027-07-30
prod.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub,2027-06-15
preprod.xform.phiz-project.org,Audacious Inquiry LLC,onboarding,ops,,Hub transform preprod,2027-06-12
onboard.xform.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub transform onboarding,2027-06-06
preprod.xform-ui.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub UI preprod,2026-10-02
onboard.xform-ui.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub UI onboarding,2026-10-02
preprod-cc.phiz-project.org,Audacious Inquiry LLC,onboarding,ops,,Config Console preprod,2026-09-24
preprod.phiz-project.org,Audacious Inquiry LLC,onboarding,ops,,Hub preprod,2026-09-24
dev.phiz-project.org,Audacious Inquiry LLC,exclude,ops,,Hub dev,2026-10-10
dev.xform.izgateway.org,Audacious Inquiry LLC,onboarding,ops,,Hub transform dev; on production deny list,2027-04-28
uptrends.izgateway.org,Audacious Inquiry LLC,exclude,ops,,Uptime monitoring service,2026-10-30
ehex-xform.prod2.aimsplatform.org,Association of Public Health Laboratories,exclude,ops,,APHL AIMS Hub transform production,2027-07-02
ehex-xform.onboard2.aimsplatform.org,Association of Public Health Laboratories,exclude,ops,,APHL AIMS Hub transform onboarding,2027-04-10
ehex-xform.sandbox2.aimsplatform.org,Association of Public Health Laboratories,exclude,ops,,APHL AIMS Hub transform sandbox,2027-03-19
securityrs.com,Security Risk Solutions Inc.,any,ops,,IZ Gateway ops team - all environments,2027-07-02
ehealthsign.com,e-HealthSign LLC,any,ops,,IZ Gateway ops team - all environments,2027-07-21
IZGTesting.ehealthsign.com,e-HealthSign LLC,any,ops,,IZ Gateway ops team - all environments,2027-07-21
onc.envisiontechnology.com,Envision Technology Partners Inc.,exclude,ops,,Envision internal dev/test; ONC name is historical artifact,2027-05-25
clinics-sit.olympus-tst.com,Centers for Disease Control and Prevention,onboarding,sender,vams,VAMS SIT environment cert,2027-03-06
tyoung.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2027-08-04
mstankiewicz.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2027-08-13
pcahill.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2027-07-24
amoody.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2027-04-20
cicd.testing.izgateway.org,Audacious Inquiry LLC,onboarding,ops,,CI/CD pipeline cert,2027-03-31
weckels.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert (Bill Eckels),2027-02-12
ppatel.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2026-11-19
kboone.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert (Keith Boone),2026-11-05
akanuri.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2026-09-30
ebrock.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2026-09-30
bwilliams.testing.izgateway.org,Audacious Inquiry LLC,any,ops,,AI operator cert,2026-10-01
izgateway.stchealthops.com,STC Health LLC,production,jurisdiction,,STC shared cert - maps to all 17 STChealth jurisdictions,2027-08-19
izgateway2.stchealthops.com,STC Health LLC,production,jurisdiction,,STC second shared cert,2026-10-09
epicenter.stchome.com,STC Health LLC,production,jurisdiction,,STC third cert,2027-04-01
njiis-stage.doh.nj.gov,Department of Health State of New Jersey,onboarding,jurisdiction,nj,,2027-08-25
hl-iispia-ha-e.njdoh.net,Department of Health State of New Jersey,production,jurisdiction,nj,,2027-01-06
soa.alertiis.org,Oregon ALERT IIS,production,jurisdiction,or,,2027-07-28
soa-test.alertiis.org,Oregon ALERT IIS,onboarding,jurisdiction,or,,2026-11-21
dpprod1.health.ny.gov,New York State Department of Health,production,jurisdiction,ny_vxu,,2027-07-30
soa4.health.ny.gov,New York State Department of Health,production,jurisdiction,ny_vxu,,2027-07-30
test.ndiis.org,Blue Cross Blue Shield of North Dakota,onboarding,jurisdiction,nd,BCBS operates ND IIS (NDIIS),2027-07-28
prod.ndiis.org,Blue Cross Blue Shield of North Dakota,production,jurisdiction,nd,BCBS operates ND IIS (NDIIS),2026-09-02
cdc-izg-onboarding-client-certificate.kidsnet.health.ri.gov,Rhode Island Department of Health,onboarding,jurisdiction,ri,,2027-08-07
cdc-izg-client-certificate.kidsnet.health.ri.gov,Rhode Island Department of Health,production,jurisdiction,ri,,2027-07-21
miic-jboss-test.web.health.state.mn.us,Minnesota Department of Health,onboarding,jurisdiction,mn,,2027-08-06
state.mn.us,Minnesota Department of Health,production,jurisdiction,mn,,2027-08-06
nesiis-dhhs-prod.ne.gov,DHHS Nebraska,production,jurisdiction,ne,,2027-06-24
testnesiis-dhhs-test.ne.gov,DHHS Nebraska,onboarding,jurisdiction,ne,,2026-12-18
izg-onboarding.immunize.nyc,New York City Department of Health,onboarding,jurisdiction,nyc,,2027-03-03
izg.immunize.nyc,New York City Department of Health,production,jurisdiction,nyc,,2027-01-07
www.mdimmunet.org,Cntr. for Immunization - MD Dept.of Health & Mental Hygiene,production,jurisdiction,md,,2027-06-08
immutest.health.maryland.gov,Cntr. for Immunization - MD Dept.of Health & Mental Hygiene,onboarding,jurisdiction,md,,2027-02-15
immtrac.dshs.texas.gov,Texas Department of State Health Services,production,jurisdiction,tx,,2027-05-26
uat-immtrac.dshs.state.tx.us,Texas Department of State Health Services,onboarding,jurisdiction,tx,,2027-05-08
icarehl7.dph.illinois.gov,Illinois Department of Public Health,production,jurisdiction,il,,2027-06-03
icarehl7test.dph.illinois.gov,Illinois Department of Public Health,onboarding,jurisdiction,il,,2027-04-14
cair.cdph.ca.gov,California Immunization Registry,production,jurisdiction,ca,,2027-04-23
cairstaging.cdph.ca.gov,California Immunization Registry,onboarding,jurisdiction,ca,,2027-04-23
integrationengine.mihin.org,Michigan Health Information Network Shared Services,production,jurisdiction,mi,,2027-03-24
integrationengine-preprod.mihin.org,Michigan Health Information Network Shared Services,onboarding,jurisdiction,mi,,2027-04-01
ncir2.ncdhhs.gov,North Carolina Department of Health and Human Services,production,jurisdiction,nc,,2027-06-16
ncir2-uat.ncdhhs.gov,North Carolina Department of Health and Human Services,onboarding,jurisdiction,nc,,2026-12-04
miis.massimmunize.org,Massachusetts Department of Public Health,production,jurisdiction,ma,,2027-02-09
miis-cert.massimmunize.org,Massachusetts Department of Public Health,production,jurisdiction,ma,Second production cert,2027-02-04
viirs.optimoz.com,Optimoz Inc.,production,jurisdiction,vi,US Virgin Islands IIS operated by Optimoz,2026-11-21
hco.optimoz.com,Optimoz Inc.,production,jurisdiction,vi,US Virgin Islands IIS operated by Optimoz,2026-11-21
dhswir.org,Wisconsin Department of Health Services,production,jurisdiction,wi,,2026-12-15
training.dhswir.org,Wisconsin Department of Health Services,onboarding,jurisdiction,wi,Training environment,2026-12-12
flshotsizgateway.flshots.com,Florida Department of Health,production,jurisdiction,fl,,2026-12-02
flshotsizgatewaydev.flshots.com,Florida Department of Health,onboarding,jurisdiction,fl,,2026-12-02
iris.dhw.idaho.gov,Idaho Department of Health and Welfare,production,jurisdiction,id,,2026-08-15
irisdev.dhw.idaho.gov,Idaho Department of Health and Welfare,onboarding,jurisdiction,id,,2026-08-15
usiisonboarding.utah.gov,Utah Department of Health and Human Services,onboarding,jurisdiction,ut,,2026-10-08
usiisapps.utah.gov,Utah Department of Health and Human Services,production,jurisdiction,ut,,2026-10-08
immpact.maine.gov,Maine Immunization Information System,production,jurisdiction,me,,2026-10-10
medev.ir.hhs-ctp.net,Maine Immunization Information System,onboarding,jurisdiction,me,,2026-11-14
PA-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,pa,,2027-06-16
PA-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,pa,,2027-06-16
AR-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ar,,2027-05-25
AR-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ar,,2027-05-25
AS-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,as,,2027-05-25
AS-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,as,,2027-05-25
CNMI-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,mp,,2027-05-25
CNMI-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,mp,,2027-05-25
CO-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,co,,2027-05-25
CO-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,co,,2027-05-25
CT-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ct,,2027-05-25
CT-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ct,,2027-05-25
DE-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,de,,2027-05-25
DE-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,de,,2027-05-25
FSM-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,fm,,2027-05-25
FSM-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,fm,,2027-05-25
Guam-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,gu,,2027-05-25
Guam-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,gu,,2027-05-25
KS-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ks,,2027-05-25
KS-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ks,,2027-05-25
KY-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ky,,2027-05-25
KY-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ky,,2027-05-25
MO-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,mo,,2027-05-25
MO-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,mo,,2027-05-25
NV-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,nv,,2027-05-25
NV-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,nv,,2027-05-25
NH-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,nh,,2027-05-25
NH-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,nh,,2027-05-25
NM-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,nm,,2027-05-25
NM-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,nm,,2027-05-25
OK-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ok,,2027-05-25
OK-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ok,,2027-05-25
Palau-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,pw,,2027-05-25
Palau-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,pw,,2027-05-25
Philly-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,ph,,2027-05-25
Philly-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,ph,,2027-05-25
RMI-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,mh,,2027-05-25
RMI-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,mh,,2027-05-25
SC-prod.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,production,jurisdiction,sc,,2027-05-25
SC-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,onboarding,jurisdiction,sc,,2027-05-25
riise.cdc.gov,Division of Global Migration Health (DGMH),production,sender,riise,RIISE CDC/EDN program,2027-04-02
riisetest.cdc.gov,Division of Global Migration Health (DGMH),onboarding,sender,riise,RIISE test cert,2027-04-13
integration.vams.cdc.gov,Centers for Disease Control and Prevention,production,sender,vams,VAMS production cert,2027-02-20
vac10accessgwprd01.va.gov,Veterans Data Integration and Federation Enterprise Platform,production,sender,VHA,VA VistA production,2026-12-16
vac10accessgwsqa01.va.gov,Veterans Data Integration and Federation Enterprise Platform,onboarding,sender,VHA,VA VistA SQA/onboarding,2026-12-16
cernerspaces.com,Cerner Corporation,production,sender,VHA,VA Oracle Health (Cerner) production,2027-01-16
preprodcernerspaces.com,Cerner Corporation,onboarding,sender,VHA,VA Oracle Health (Cerner) non-prod,2027-05-08
docstation.co,DocStation Inc.,any,sender,docstation,Currently permitted in both environments - JWT tokens will restrict to one environment per cert,2027-08-06
fdlrez.com,Fond du lac Human Services,production,sender,fond-du-lac,,2027-06-24
davita.com,DaVita Inc,production,sender,davita,,2027-06-19
test.davita.com,DaVita Inc,onboarding,sender,davita,,2027-06-16
azova.com,Azova Inc.,production,sender,azova,,2026-12-11
staging.azova.com,Azova Inc.,onboarding,sender,azova,,2026-12-09
prod.mayo.qvera.com,Qvera LLC.,production,sender,mayo,Mayo Clinic (non-jurisdiction PROVIDER sender) via Qvera integration engine,2026-11-04
test.mayo.qvera.com,Qvera LLC.,onboarding,sender,mayo,Mayo Clinic (non-jurisdiction PROVIDER sender) via Qvera integration engine,2026-11-13
dockethealth.com,DOCKET HEALTH INC.,production,sender,docket,,2027-02-10
beta.dockethealth.com,DOCKET HEALTH INC.,onboarding,sender,docket,,2027-02-05
ehealthexchange.org,Healtheway Inc.,onboarding,sender,ehealthexchange,eHealth Exchange QHIN pilot - onboarding only; Nevada only,2026-09-09
iris-prod.freseniusmedicalcare.com,Fresenius Medical Care Holdings Inc.,production,sender,fresenius,,2026-09-09
iris-nonprod.freseniusmedicalcare.com,Fresenius Medical Care Holdings Inc.,onboarding,sender,fresenius,,2026-09-09
prod-izgateway.adph.state.al.us,Alabama Department of Public Health,production,jurisdiction,al,,2027-04-08
test-izgateway.adph.state.al.us,Alabama Department of Public Health,onboarding,jurisdiction,al,,2027-04-08
