Environment,Common Name,Organization
staging,pcahill.testing.izgateway.org,Audacious Inquiry LLC
staging,preprod.phiz-project.org,Audacious Inquiry LLC
staging,akanuri.testing.izgateway.org,Audacious Inquiry LLC
staging,ebrock.testing.izgateway.org,Audacious Inquiry LLC
staging,uptrends.izgateway.org,Audacious Inquiry LLC
staging,kboone.testing.izgateway.org,Audacious Inquiry LLC
staging,ppatel.testing.izgateway.org,Audacious Inquiry LLC
staging,ehex-xform.sandbox2.aimsplatform.org,Association of Public Health Laboratories
staging,amoody.testing.izgateway.org,Audacious Inquiry LLC
staging,preprod.xform.phiz-project.org,Audacious Inquiry LLC
prod,CNMI-test.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,FSM-test.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,Guam-test.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,Palau-test.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,IZGTesting.ehealthsign.com,"e-HealthSign, LLC"
prod,soa.alertiis.org,Oregon ALERT IIS
prod,docstation.co,"DocStation, Inc."
prod,izgateway.stchealthops.com,"STC Health, LLC"
prod,prod.ndiis.org,Blue Cross Blue Shield of North Dakota
prod,iris-prod.freseniusmedicalcare.com,Fresenius Medical Care Holdings Inc.
prod,akanuri.testing.izgateway.org,Audacious Inquiry LLC
prod,ebrock.testing.izgateway.org,Audacious Inquiry LLC
prod,usiisapps.utah.gov,Utah Department of Health and Human Services
prod,izgateway2.stchealthops.com,"STC Health, LLC"
prod,uptrends.izgateway.org,Audacious Inquiry LLC
prod,prod.mayo.qvera.com,Qvera LLC.
prod,kboone.testing.izgateway.org,Audacious Inquiry LLC
prod,ppatel.testing.izgateway.org,Audacious Inquiry LLC
prod,viirs.optimoz.com,"Optimoz, Inc"
prod,flshotsizgateway.flshots.com,Florida Department of Health
prod,dhswir.org,Wisconsin Department of Health Services
prod,vac10accessgwprd01.va.gov,Veterans Data Integration and Federation Enterprise Platform
prod,hl-iispia-ha-e.njdoh.net,"Department of Health, State of New Jersey"
prod,izg.immunize.nyc,New York City Department of Health
prod,cernerspaces.com,Cerner Corporation
prod,miis.massimmunize.org,Massachusetts Department of Public Health
prod,dockethealth.com,"DOCKET HEALTH, INC."
prod,integration.vams.cdc.gov,Centers for Disease Control and Prevention
prod,integrationengine.mihin.org,Michigan Health Information Network Shared Services
prod,epicenter.stchome.com,"STC Health, LLC"
prod,riise.cdc.gov,Division of Global Migration Health (DGMH)
prod,riise.cdc.gov,Centers for Disease Control and Prevention (DGMH)
prod,riise.cdc.gov,Centers for Disease Control and Prevention DGMH
prod,prod-izgateway.adph.state.al.us,Alabama Department of Public Health
prod,amoody.testing.izgateway.org,Audacious Inquiry LLC
prod,cair.cdph.ca.gov,California Immunization Registry
prod,AS-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,FSM-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,Palau-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,AR-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,CNMI-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,CO-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,CT-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,DE-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,Guam-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,KS-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,KY-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,MO-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,NM-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,NV-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,OK-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,Philly-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,RMI-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,pcahill.testing.izgateway.org,Audacious Inquiry LLC
prod,icarehl7.dph.illinois.gov,Illinois Department of Public Health
prod,prod.phiz-project.org,Audacious Inquiry LLC
prod,www.mdimmunet.org,Cntr. for Immunization - MD Dept.of Health & Mental Hygiene
prod,davita.com,DaVita Inc
prod,fdlrez.com,Fond du lac Human Services
prod,PA-prod.izgateway.envisiontechnology.com,"Envision Technology Partners, Inc."
prod,cdc-izg-client-certificate.kidsnet.health.ri.gov,Rhode Island Department of Health
