"sender_destid","sender_name","receiver_destid","receiver_name","use_type","environments","notes"
"ak","Alaska","wa","Washington","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","az","Arizona","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","dc","District of Columbia","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","in","Indiana","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","la","Louisiana","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","ms","Mississippi","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","oh","Ohio","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","pr","Puerto Rico","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","sd","South Dakota","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","wv","West Virginia","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","wy","Wyoming","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","tn","Tennessee","PUBLIC_HEALTH","production|onboarding",""
"ak","Alaska","va_s","Virginia (IIS)","PUBLIC_HEALTH","production|onboarding",""
"as","American Samoa - PI","fm","Micronesia - PI","PUBLIC_HEALTH","production|onboarding",""
"as","American Samoa - PI","mp","N. Mariana Islands - PI","PUBLIC_HEALTH","production|onboarding",""
"as","American Samoa - PI","mh","Marshall Islands - PI","PUBLIC_HEALTH","production|onboarding",""
"as","American Samoa - PI","pw","Palau - PI","PUBLIC_HEALTH","production|onboarding",""
"as","American Samoa - PI","gu","Guam - PI","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","in","Indiana","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","tn","Tennessee","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","wa","Washington","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","ak","Alaska","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","dc","District of Columbia","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","la","Louisiana","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","ms","Mississippi","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","oh","Ohio","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","pr","Puerto Rico","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","sd","South Dakota","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","wv","West Virginia","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","wy","Wyoming","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","md","Maryland","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","vi","Virgin Islands U.S.","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","wi","Wisconsin","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","il","Illinois","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","ct","Connecticut","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","nm","New Mexico","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","co","Colorado","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","nv","Nevada","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","ut","Utah","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","va_s","Virginia (IIS)","PUBLIC_HEALTH","production|onboarding",""
"az","Arizona","nv","Nevada","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","ks","Kansas","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","nv","Nevada","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","ok","Oklahoma","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","ky","Kentucky","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","ct","Connecticut","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","mo","Missouri","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","nm","New Mexico","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","de","Delaware","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","ms","Mississippi","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","pa","Pennsylvania","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","la","Louisiana","PUBLIC_HEALTH","production|onboarding",""
"ar","Arkansas","tn","Tennessee","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","ok","Oklahoma","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","nv","Nevada","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","nm","New Mexico","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","ks","Kansas","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","pa","Pennsylvania","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","az","Arizona","PUBLIC_HEALTH","production|onboarding",""
"co","Colorado","ut","Utah","PUBLIC_HEALTH","production|onboarding",""
