organization_name,allowed_use_types,source,notes
Alabama,PUBLIC_HEALTH,report:2026-08-13,
Alaska,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
American Samoa - PI,PUBLIC_HEALTH,report:2026-08-13,
Arizona,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Arkansas,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
California,PROVIDER,report:2026-08-13,
Chicago - Illinois,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,SKIP - uses Illinois state IIS infrastructure; no separate Jurisdiction record needed
Colorado,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Connecticut,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
CCUAT,PUBLIC_HEALTH|PROVIDER|PATIENT,config:prod_config.json|onboarding_config.json,Test endpoints for Config Console UAT; not in Salesforce; open to all use types
DEVELOPMENT,PUBLIC_HEALTH|PROVIDER|PATIENT,config:prod_config.json|onboarding_config.json,Development/connectivity testing endpoints; not in Salesforce; open to all use types
Delaware,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
District of Columbia,PUBLIC_HEALTH|PROVIDER|PATIENT,manual,Report shows no Consumer access; PATIENT retained per Michelle C — Salesforce not updated
Florida,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Georgia,PROVIDER,report:2026-08-13,
Guam - PI,PUBLIC_HEALTH,report:2026-08-13,
Hawaii,,manual,Not yet onboarded - no allowedUseTypes; skip in migration
Houston - Texas,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,SKIP - uses Texas state IIS infrastructure; no separate Jurisdiction record needed
Idaho,PROVIDER|PATIENT,report:2026-08-13,
Illinois,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Indiana,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Iowa,PROVIDER,report:2026-08-13,
Kansas,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Kentucky,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
LA County - California,PROVIDER,report:2026-08-13,SKIP - uses California state IIS infrastructure; no separate Jurisdiction record needed
Louisiana,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Maine,PROVIDER|PATIENT,report:2026-08-13,
Maricopa County- Arizona,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,SKIP - uses Arizona state IIS infrastructure; no separate Jurisdiction record needed
Marshall Islands - PI,PUBLIC_HEALTH,report:2026-08-13,
Maryland,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Massachusetts,PROVIDER,report:2026-08-13,
Michigan,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Micronesia - PI,PUBLIC_HEALTH,report:2026-08-13,
Minnesota,PROVIDER|PATIENT,report:2026-08-13,
Mississippi,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Missouri,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
Montana,PROVIDER,report:2026-08-13,
N. Mariana Islands - PI,PUBLIC_HEALTH,report:2026-08-13,
Nebraska,PROVIDER,report:2026-08-13,
Nevada,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
New Hampshire,PROVIDER,report:2026-08-13,
New Jersey,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
New Mexico,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
New York City - New York State,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
New York State,PROVIDER,report:2026-08-13,
North Carolina,PROVIDER,report:2026-08-13,
North Dakota,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
Ohio,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Oklahoma,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Oregon,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Palau - PI,PUBLIC_HEALTH,report:2026-08-13,
Pennsylvania,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Pennsylvania - Philadelphia,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Puerto Rico,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Rhode Island,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
San Antonio - Texas,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,SKIP - uses Texas state IIS infrastructure; no separate Jurisdiction record needed
South Carolina,PROVIDER,manual,Report shows no use types; PROVIDER confirmed manually by ops
South Dakota,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Tennessee,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Texas,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Utah,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
Vermont,PROVIDER,report:2026-08-13,
Virgin Islands U.S.,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Virginia,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Washington,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
West Virginia,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Wisconsin,PUBLIC_HEALTH|PROVIDER,report:2026-08-13,
Wyoming,PUBLIC_HEALTH|PROVIDER|PATIENT,report:2026-08-13,
