"entityType","sortKey","description","jurisdictionId","name","prefix"
"Jurisdiction","1","Development Testing","1","DEVELOPMENT","dev"
"Jurisdiction","10","District of Columbia","10","DC DOCIIS","dc"
"Jurisdiction","11","Delaware","11","DE DelVAX","de"
"Jurisdiction","12","Florida","12","FL SHOTS","fl"
"Jurisdiction","13","Georgia","13","GA GRITS","ga"
"Jurisdiction","14","Hawaii","14","HI HIR","hi"
"Jurisdiction","15","Iowa","15","IA IRIS","ia"
"Jurisdiction","16","Idaho","16","ID IRIS","id"
"Jurisdiction","17","Illinois","17","IL I-CARE","il"
"Jurisdiction","18","Indiana","18","IN CHIRP","in"
"Jurisdiction","19","Kansas","19","KS WebIZ","ks"
"Jurisdiction","2","Centers for Disease Control","2","CDC",""
"Jurisdiction","20","Kentucky","20","KY KYIR","ky"
"Jurisdiction","21","Louisiana","21","LA LINKS","la"
"Jurisdiction","22","Massachusetts","22","MA MIIS","ma"
"Jurisdiction","23","Maryland","23","MD IMMUNET","md"
"Jurisdiction","24","Maine","24","ME ImmPact2","me"
"Jurisdiction","25","Michigan","25","MI MCIR","mi"
"Jurisdiction","26","Minnesota","26","MN MIIC","mn"
"Jurisdiction","27","Missouri","27","MO ShowMeVax","mo"
"Jurisdiction","28","Mississippi","28","MS MIIX","ms"
"Jurisdiction","29","Montana","29","MT imMTrax","mt"
"Jurisdiction","3","Alaska","3","AK VacTrAK","ak"
"Jurisdiction","30","North Carolina","30","NCIR","nc"
"Jurisdiction","31","North Dakota","31","ND SIIS","nd"
"Jurisdiction","32","Nebraska","32","NE NESIIS","ne"
"Jurisdiction","33","New Hampshire","33","NH VaxNH","nh"
"Jurisdiction","34","New Jersey","34","NJ NJIIS","nj"
"Jurisdiction","35","New Mexico","35","NM NMSIIS","nm"
"Jurisdiction","36","Nevada","36","NV WebIZ","nv"
"Jurisdiction","37","New York State","37","NY NYSIIS","ny"
"Jurisdiction","38","New York City","38","NYC CIR","nyc"
"Jurisdiction","39","Ohio","39","OH Impact SIIS","oh"
"Jurisdiction","4","Alabama","4","AL ImmPRINT","al"
"Jurisdiction","40","Oklahoma","40","OK OSIIS","ok"
"Jurisdiction","41","Oregon","41","OR ALERT","or"
"Jurisdiction","42","Pennsylvania - Philadelphia","42","PA PHIL","ph"
"Jurisdiction","43","Pennsylvania","43","PA SIIS","pa"
"Jurisdiction","44","PI - American Samoa","44","PI - American Samoa","as"
"Jurisdiction","45","PI - Federated States of Micronesia","45","PI - Federated States of Micronesia","fm"
"Jurisdiction","46","PI - Palau","46","PI - Palau","pw"
"Jurisdiction","47","PI - Guam","47","PI - PI Guam","gu"
"Jurisdiction","48","PI - Commonwealth of the Mariana Islands","48","PI - PI N Mariana Islands","mp"
"Jurisdiction","49","PI - Republic of the Marshall Islands","49","PI - Republic of the Marshall Islands","mh"
"Jurisdiction","5","Arkansas","5","AR WebIZ","ar"
"Jurisdiction","50","Puerto Rico","50","PR PRIR","pr"
"Jurisdiction","51","Rhode Island","51","RI CAIR","ri"
"Jurisdiction","52","South Carolina","52","SC SCI","sc"
"Jurisdiction","53","South Dakota","53","SD SDIIS","sd"
"Jurisdiction","54","Tennessee","54","TN TennIIS","tn"
"Jurisdiction","55","Texas","55","TX ImmTrac","tx"
"Jurisdiction","56","U.S. Virgin Islands","56","U.S. Virgin Islands","vi"
"Jurisdiction","57","Utah","57","UT USIIS","ut"
"Jurisdiction","58","Virginia","58","VA VIIS","va"
"Jurisdiction","59","Vermont","59","VT IMR","vt"
"Jurisdiction","6","Arizona","6","AZ ASIIS","az"
"Jurisdiction","60","Washington","60","WA WAIIS","wa"
"Jurisdiction","61","Wisconsin","61","WI WIR","wi"
"Jurisdiction","62","West Virginia","62","WV WVSIIS","wv"
"Jurisdiction","63","Wyoming","63","WY WyIR","wy"
"Jurisdiction","7","California","7","CA CAIR","ca"
"Jurisdiction","8","Colorado","8","CO CIIS","co"
"Jurisdiction","9","Connecticut","9","CT WiZ","ct"
