destId,jurisdictionName,msh3,msh4,environment
404,DEVELOPMENT,IZGW,IZGW,production
ak,AK VacTrAK,IZGATEWAY,IZGATEWAY,production
al,AL ImmPRINT,1465,1024,production
ar,AR WebIZ,IZGATEWAY,IZGATEWAY,production
as,PI - American Samoa,IZGATEWAY,IZGATEWAY,production
az,AZ ASIIS,IZGATEWAY,69002,production
ca,CA CAIR,IZGATEWAY,IZGATEWAY,production
co,CO CIIS,IZGATEWAY,IZGATEWAY,production
ct,CT WiZ,IZGATEWAY,IZGATEWAY,production
dc,DC DOCIIS,IZGATEWAY,IZGATEWAY,production
de,DE DelVAX,IZGATEWAY,IZGATEWAY,production
dev,DEVELOPMENT,IZGW,IZGW,production
dev2011,DEVELOPMENT,IZGW,IZGW,production
devwup,DEVELOPMENT,IZGW,IZGW,production
dex,CDC,,,production
dex-dev,DEVELOPMENT,IZGW,IZGW,production
down,DEVELOPMENT,IZGW,IZGW,production
fl,FL SHOTS,IZGATEWAY,DWV86147,production
fm,PI - Federated States of Micronesia,IZGATEWAY,IZGATEWAY,production
ga,GA GRITS,GRITS,GAIZ,production
gu,PI - PI Guam,IZGATEWAY,IZGATEWAY,production
hibill,CCUAT,IZGW_PEC-MSH3,,production
ia,IA IRIS,IZG,IZG,production
id,ID IRIS,IRIS,59549,production
il,IL I-CARE,AART,888IZG,production
in,IN CHIRP,IZGATEWAY,IZGATEWAY,production
invalid,DEVELOPMENT,IZGW,IZGW,production
ks,KS WebIZ,IZGATEWAY,IZGATEWAY,production
ky,KY KYIR,IZGATEWAY,IZGATEWAY,production
la,LA LINKS,IZGATEWAY,IZGATEWAY,production
ma,MA MIIS,blank,60182,production
maint,DEVELOPMENT,IZGW,IZGW,production
md,MD IMMUNET,IMMUNET,161143928,production
md_c,MD IMMUNET,IMMUNET,161147173,production
me,ME ImmPact2,34227,34227,production
mh,PI - Republic of the Marshall Islands,IZGATEWAY,IZGATEWAY,production
mi,MI MCIR,IZGATEWAY,IZGATEWAY,production
mn,MN MIIC,AART,IZGATE,production
mo,MO ShowMeVax,IZGATEWAY,IZGATEWAY,production
mp,PI - PI N Mariana Islands,IZGATEWAY,IZGATEWAY,production
ms,MS MIIX,IZGATEWAY,IZGATEWAY,production
mt,MT imMTrax,IZGATEWAY,80844,production
nc,NCIR,IZGATE,IZGATE,production
nd,ND SIIS,VA VDIF,6075,production
ne,NE NESIIS,IZGATEWAY,IZGTW,production
nh,NH VaxNH,IZGATEWAY,IZGATEWAY,production
nj,NJ NJIIS,IZGATEWAY,12918,production
nm,NM NMSIIS,IZGATEWAY,IZGATEWAY,production
nv,NV WebIZ,IZGATEWAY,IZGATEWAY,production
ny_vxu,NY NYSIIS,,,production
nyc,NY NYSIIS,7004D01,7004D01,production
oh,OH Impact SIIS,IZGATEWAY,IZGATEWAY,production
ok,OK OSIIS,IZGATEWAY,IZGATEWAY,production
or,OR ALERT,AL9997,AL9997,production
pa,PA SIIS,IZGATEWAY,IZGATEWAY,production
ph,PA PHIL,IZGATEWAY,IZGATEWAY,production
pr,PR PRIR,IZGATEWAY,IZGATEWAY,production
pw,PI - Palau,IZGATEWAY,IZGATEWAY,production
reject,DEVELOPMENT,IZGW,IZGW,production
ri,RI CAIR,IZ Gateway,RI88200909,production
sc,SC SCI,IZGATEWAY,IZGATEWAY,production
sd,SD SDIIS,IZGATEWAY,IZGATEWAY,production
tn,TN TennIIS,IZGATEWAY,IZGATEWAY,production
tx,TX ImmTrac,blank,1117537000,production
ut,UT USIIS,221,PP098,production
va,VA VIIS,VIIS2,VIIS2,production
va_s,VA VIIS,IZGATEWAY,IZGATEWAY,production
vi,U.S. Virgin Islands,IZGY,IZGY,production
vt,VT IMR,,,production
wa,WA WAIIS,IZGATEWAY,IZGATEWAY,production
wi,WI WIR,42342,42342,production
wv,WV WVSIIS,IZGATEWAY,IZGATEWAY,production
wy,WY WyIR,IZGATEWAY,IZGATEWAY,production
