"sender_id","sender_name","receiver_destid","receiver_name","use_type","environments","notes"
"AZOVA","AZOVA","nv","Nevada","PROVIDER","production|onboarding",""
"AZOVA","AZOVA","ut","Utah","PROVIDER","production|onboarding",""
"DaVita Physician Solutions","DaVita Physician Solutions","nj","New Jersey","PROVIDER","production|onboarding",""
"DaVita Physician Solutions","DaVita Physician Solutions","va","Virginia","PROVIDER","production|onboarding",""
"DaVita Physician Solutions","DaVita Physician Solutions","ca","California","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","wa","Washington","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","fl","Florida","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","ca","California","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","ok","Oklahoma","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","nc","North Carolina","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","md_c","Maryland (Provider Connect)","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","dc","District of Columbia","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","va","Virginia","PROVIDER","production|onboarding",""
"DOD","Department of Defense (DOD)","tx","Texas","PROVIDER","production|onboarding",""
"DocStation","DocStation","mn","Minnesota","PROVIDER","production|onboarding",""
"Fond du Lac","Fond du Lac","mn","Minnesota","PROVIDER","production|onboarding",""
"Fresenius Medical Care","Fresenius Medical Care","co","Colorado","PROVIDER","production|onboarding",""
"Fresenius Medical Care","Fresenius Medical Care","ar","Arkansas","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","dc","District of Columbia","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","mt","Montana","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","in","Indiana","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","ak","Alaska","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","nj","New Jersey","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","co","Colorado","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","nd","North Dakota","PROVIDER","production|onboarding",""
"Mayo Clinic","Mayo Clinic","mo","Missouri","PROVIDER","production|onboarding",""
"RIISE","RIISE","ct","Connecticut","PROVIDER","production|onboarding",""
"RIISE","RIISE","ca","California","PROVIDER","production|onboarding",""
"RIISE","RIISE","co","Colorado","PROVIDER","production|onboarding",""
"RIISE","RIISE","ak","Alaska","PROVIDER","production|onboarding",""
"RIISE","RIISE","az","Arizona","PROVIDER","production|onboarding",""
"RIISE","RIISE","ar","Arkansas","PROVIDER","production|onboarding",""
"RIISE","RIISE","de","Delaware","PROVIDER","production|onboarding",""
"RIISE","RIISE","dc","District of Columbia","PROVIDER","production|onboarding",""
"RIISE","RIISE","fl","Florida","PROVIDER","production|onboarding",""
"RIISE","RIISE","id","Idaho","PROVIDER","production|onboarding",""
"RIISE","RIISE","il","Illinois","PROVIDER","production|onboarding",""
"RIISE","RIISE","in","Indiana","PROVIDER","production|onboarding",""
"RIISE","RIISE","ky","Kentucky","PROVIDER","production|onboarding",""
"RIISE","RIISE","la","Louisiana","PROVIDER","production|onboarding",""
"RIISE","RIISE","ma","Massachusetts","PROVIDER","production|onboarding",""
"RIISE","RIISE","mi","Michigan","PROVIDER","production|onboarding",""
"RIISE","RIISE","mo","Missouri","PROVIDER","production|onboarding",""
"RIISE","RIISE","mt","Montana","PROVIDER","production|onboarding",""
"RIISE","RIISE","ne","Nebraska","PROVIDER","production|onboarding",""
"RIISE","RIISE","nv","Nevada","PROVIDER","production|onboarding",""
"RIISE","RIISE","nm","New Mexico","PROVIDER","production|onboarding",""
"RIISE","RIISE","nyc","New York City - New York State","PROVIDER","production|onboarding",""
"RIISE","RIISE","nc","North Carolina","PROVIDER","production|onboarding",""
"RIISE","RIISE","nd","North Dakota","PROVIDER","production|onboarding",""
"RIISE","RIISE","oh","Ohio","PROVIDER","production|onboarding",""
"RIISE","RIISE","or","Oregon","PROVIDER","production|onboarding",""
"RIISE","RIISE","ok","Oklahoma","PROVIDER","production|onboarding",""
"RIISE","RIISE","ph","Pennsylvania - Philadelphia","PROVIDER","production|onboarding",""
"RIISE","RIISE","ri","Rhode Island","PROVIDER","production|onboarding",""
"RIISE","RIISE","sd","South Dakota","PROVIDER","production|onboarding",""
"RIISE","RIISE","tn","Tennessee","PROVIDER","production|onboarding",""
"RIISE","RIISE","ut","Utah","PROVIDER","production|onboarding",""
"RIISE","RIISE","wa","Washington","PROVIDER","production|onboarding",""
"RIISE","RIISE","wv","West Virginia","PROVIDER","production|onboarding",""
"RIISE","RIISE","wi","Wisconsin","PROVIDER","production|onboarding",""
"RIISE","RIISE","md_c","Maryland (Provider Connect)","PROVIDER","production|onboarding",""
"RIISE","RIISE","pa","Pennsylvania","PROVIDER","production|onboarding",""
"VAMS","VAMS","va","Virginia","PROVIDER","production|onboarding",""
"VAMS","VAMS","ks","Kansas","PROVIDER","production|onboarding",""
"VAMS","VAMS","wv","West Virginia","PROVIDER","production|onboarding",""
"VAMS","VAMS","ct","Connecticut","PROVIDER","production|onboarding",""
"VAMS","VAMS","de","Delaware","PROVIDER","production|onboarding",""
"VAMS","VAMS","ut","Utah","PROVIDER","production|onboarding",""
"VAMS","VAMS","nh","New Hampshire","PROVIDER","production|onboarding",""
"VAMS","VAMS","ne","Nebraska","PROVIDER","production|onboarding",""
"VAMS","VAMS","md_c","Maryland (Provider Connect)","PROVIDER","production|onboarding",""
"VAMS","VAMS","nj","New Jersey","PROVIDER","production|onboarding",""
"VAMS","VAMS","ri","Rhode Island","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","ky","Kentucky","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","in","Indiana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","or","Oregon","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","wa","Washington","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","mt","Montana","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","id","Idaho","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","wi","Wisconsin","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","il","Illinois","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","oh","Ohio","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (Oracle Health)","mi","Michigan","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","az","Arizona","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","fl","Florida","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ny_vxu","New York State","PROVIDER","production|onboarding",""
"VHA","Veterans Administration (VistA)","ca","California","PROVIDER","production|onboarding",""
