IIS: Organization Name,IIS: SME Name: Full Name,IIS Vendor: Organization Name,# of IIS,# of Providers,Number of Facilities,Date Production Feed Enabled,VXU Date Production Feed Enabled,QBP Date Production Feed Enabled,Provider-IIS Data Exchange Name,Provider: Organization Name,Provider Vendor: Organization Name
Nevada,Tristi Bond,Envision Technology Partners,1,1,1,,,2025-06-18,AZOVA / Nevada,AZOVA
Utah,Jennifer Ratliff,Awardee Developed - UT USIIS,1,1,1,2021-01-04,,,AZOVA / Utah,AZOVA,AZOVA
New Jersey,Crystal Edwards,Awardee Developed - NJ NJIIS,1,1,2,,2026-04-15,,DaVita Physician Solutions / New Jersey,DaVita Physician Solutions
Virginia,Crystal Edwards,STChealth,1,1,2,,2026-06-09,,DaVita Physician Solutions / Virginia,DaVita Physician Solutions
California,Jan Hicks-Thomson,Gainwell Technologies,1,1,1,,2026-07-29,,DaVita Physician Solutions / California,DaVita Physician Solutions
Washington,Natalie Johns,STChealth,1,1,63,2023-03-29,,,Department of Defense (DOD) / Washington,Department of Defense (DOD),Oracle Health
Florida,Chantel Hartman,Awardee Developed - FL SHOTS,1,1,146,2023-08-30,,,Department of Defense (DOD) / Florida,Department of Defense (DOD),Oracle Health
California,Jan Hicks-Thomson,Gainwell Technologies,1,1,132,2023-08-30,,,Department of Defense (DOD) / California,Department of Defense (DOD),Oracle Health
Oklahoma,Tristi Bond,Envision Technology Partners,1,1,14,2023-08-30,,,Department of Defense (DOD) / Oklahoma,Department of Defense (DOD),Oracle Health
North Carolina,Chantel Hartman,Gainwell Technologies,1,1,28,2023-08-30,,,Department of Defense (DOD) / North Carolina,Department of Defense (DOD),Oracle Health
Maryland,Marley Vazquez,Gainwell Technologies,1,1,26,2024-07-10,,,Department of Defense (DOD) / Maryland,Department of Defense (DOD),Oracle Health
District of Columbia,Crystal Edwards,STChealth,1,1,6,2024-07-10,,,Department of Defense (DOD) / District of Columbia,Department of Defense (DOD),Oracle Health
Virginia,Crystal Edwards,Gainwell Technologies,1,1,48,2024-07-10,,,Department of Defense (DOD) / Virginia,Department of Defense (DOD),Oracle Health
Texas,Tristi Bond,Deloitte,1,1,72,2024-07-10,,,Department of Defense (DOD) / Texas,Department of Defense (DOD),Oracle Health
San Antonio - Texas,Tristi Bond,Deloitte,1,1,0,2024-07-10,,,Department of Defense (DOD) / San Antonio - Texas,Department of Defense (DOD),Oracle Health
Houston - Texas,Tristi Bond,Deloitte,1,1,0,2024-07-10,,,Department of Defense (DOD) / Houston - Texas,Department of Defense (DOD),Oracle Health
LA County - California,Jan Hicks-Thomson,Gainwell Technologies,1,1,0,2023-08-30,,,Department of Defense (DOD) / LA County - California,Department of Defense (DOD),Oracle Health
Minnesota,Amee DeMartino,Gainwell Technologies,1,1,14,2019-12-16,,,DocStation / Minnesota,DocStation,DocStation
Minnesota,Amee DeMartino,Gainwell Technologies,1,1,2,2022-09-30,,,Fond du Lac / Minnesota,Fond du Lac,Nextgen
Colorado,Jennifer Ratliff,Envision Technology Partners,1,1,27,,2025-11-20,,Fresenius Medical Care / Colorado,Fresenius Medical Care,InterSystems? Health Connect?
Arkansas,Tristi Bond,Envision Technology Partners,1,1,12,,2025-12-16,,Fresenius Medical Care / Arkansas,Fresenius Medical Care,InterSystems? Health Connect?
District of Columbia,Crystal Edwards,STChealth,1,1,1,,,2026-05-20,Mayo Clinic / District of Columbia,Mayo Clinic
Montana,Jennifer Ratliff,STChealth,1,1,,,,2026-06-24,Mayo Clinic / Montana,Mayo Clinic
Indiana,Amee DeMartino,STChealth,1,1,1,,,2026-05-27,Mayo Clinic / Indiana,Mayo Clinic
Alaska,Jennifer Ratliff,STChealth,1,1,1,,,2026-06-10,Mayo Clinic / Alaska,Mayo Clinic
New Jersey,Crystal Edwards,Awardee Developed - NJ NJIIS,1,1,,,,2026-07-23,Mayo Clinic / New Jersey,Mayo Clinic
Colorado,Jennifer Ratliff,Envision Technology Partners,1,1,,2026-07-22,,,Mayo Clinic / Colorado,Mayo Clinic
North Dakota,Jennifer Ratliff,Awardee Developed - Blue Cross Blue Shield,1,1,1,,,2026-02-04,Mayo Clinic / North Dakota,Mayo Clinic,Qvera
Missouri,Trenetria Manglona Steele,Envision Technology Partners,1,1,1,2026-04-28,,,Mayo Clinic / Missouri,Mayo Clinic,Qvera
Connecticut,Jennifer Ratliff,Envision Technology Partners,1,1,1,,2023-10-17,,RIISE / Connecticut,RIISE,EDN
